rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
11,Chosen Rooter & Plumbing,CHOSEN ROOTER & PLUMBING INC,viable,2026-09-04-expansion-20,33,1054611,active,Corporation,C36 - PLUMBING,06/12/2019,06/30/2028,NATIONWIDE MUTUAL INSURANCE COMPANY,"$25,000",,insured,"338 N CANAL ST STE 12 / SOUTH SAN FRANCISCO, CA 94080",(415) 702-9919,(415) 702-9919,,https://chosenrooter.com/,advertised,advertised,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1054611,data/raw/cslb-1054611.txt
12,Deals on Wheels Plumbing,DEALS ON WHEELS PLUMBING,viable,2026-09-04-expansion-20,33,1036915,active,Sole Ownership,C36 - PLUMBING,03/16/2018,06/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"115 PICCADILLY PL APT D / SAN BRUNO, CA 94066",(650) 271-0184,(650) 271-0184,,,advertised,advertised,unknown,unknown,unknown,advertised,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1036915,data/raw/cslb-1036915.txt
13,Dr. Drain Plumbing & Rooter,DR DRAIN PLUMBING AND ROOTER,viable,,33,1100857,active,Corporation,C36 - PLUMBING,01/26/2023,01/31/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",,exempt,"1043 PINEHURST CT / MILLBRAE, CA 94030",(650) 686-0757,(650) 686-0757,,https://drdrainplumbingandrooter.com/,advertised,advertised,unknown,unknown,unknown,advertised,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1100857,data/raw/cslb-1100857.txt
14,Expert Plumbing Solutions,EXPERT PLUMBING SOLUTIONS,viable,2026-09-04-expansion-20,33,977638,active,Corporation,C36 - PLUMBING,10/09/2012,10/31/2026,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"1465 44TH AVENUE / SAN FRANCISCO, CA 94122",(415) 531-5340,(415) 531-5340,,https://www.eplumbingsolutions.com/,advertised,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=977638,data/raw/cslb-977638.txt
15,Five Star Plumbing & Rooter,5 STAR PLUMBING & ROOTER,viable,2026-09-04-expansion-20,33,996627,active,Corporation,A - GENERAL ENGINEERING; B - GENERAL BUILDING; C36 - PLUMBING,09/11/2014,11/30/2027,BUSINESS ALLIANCE INSURANCE COMPANY,"$25,000",,insured,"811 SAN JOSE AVENUE / SAN FRANCISCO, CA 94110",(415) 410-4420,(415) 410-4420,,https://fivestarplumbingsf.com/,advertised,advertised,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=996627,data/raw/cslb-996627.txt
16,Manny's Plumbing & Rooters,MANNY'S PLUMBING & ROOTER,viable,2026-09-04-expansion-20,33,841229,active,Sole Ownership,C36 - PLUMBING; B - GENERAL BUILDING,06/21/2004,06/30/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,exempt,"41 MIDVALE DRIVE / DALY CITY, CA 94015",(650) 207-5733,(650) 207-5733,,https://www.mannysplumbingandremodeling.com/,advertised,advertised,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=841229,data/raw/cslb-841229.txt
17,Works Plumbing,WORKS PLUMBING & ROOTER INC,viable,2026-09-04-expansion-20,33,982663,active,Corporation,C36 - PLUMBING,04/12/2013,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 1202 / PACIFICA, CA 94044",(415) 200-5546,(415) 200-5546,,https://worksplumbing.com/,advertised,advertised,unknown,unknown,advertised,advertised,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=982663,data/raw/cslb-982663.txt
18,One Source Plumbing and Rooter Inc.,ONE SOURCE PLUMBING & ROOTER INC,viable,2026-09-04-expansion-20,25,988995,active,Corporation,C36 - PLUMBING,12/10/2013,12/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"350 BAY ST 100-178 / SAN FRANCISCO, CA 94133",(415) 570-3646,(415) 570-3646,,https://onesourceplumbingsf.com/,unknown,documented-adjacent,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=988995,data/raw/cslb-988995.txt
19,Discount Plumbing & Rooter,DISCOUNT PLUMBING ROOTER SERVICES LLC,viable,,17,1140843,active,Ltd Liability,C36 - PLUMBING ; A - GENERAL ENGINEERING,07/22/2025,07/31/2027,LEXINGTON NATIONAL INSURANCE CORPORATION,"$25,000",,insured,"1325 HOWARD AVE BLDG 710 / BURLINGAME, CA 94010",(650) 991-2100,(650) 991-2100,2623,https://www.discountplumbingandrooter.com/,advertised,no-evidence,unknown,unknown,unknown,advertised,4,The permit history sits with a CANCELED license,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1140843,data/raw/cslb-1140843.txt
20,"Magic Plumbing, Heating, Cooling & Electrical",MAGIC PLUMBING,viable,,17,698806,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C36 - PLUMBING",11/10/1994,03/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"dba MAGIC PLUMBING HEATING & COOLING / 2261 MARKET STREET 120 / SAN FRANCISCO, CA 94114",(415) 441-2255,(415) 441-2255,2007,https://www.magicplumbingsf.com/,advertised,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=698806,data/raw/cslb-698806.txt
21,Ros Plumbing LLC,ROS PLUMBING LLC,viable,2026-09-04-expansion-50,17,885083,active,Ltd Liability,"C36 - PLUMBING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; B - GENERAL BUILDING",09/30/2006,02/28/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1543 HILL ROAD / NOVATO, CA 94947",(415) 505-2180,(415) 505-2180,1252,,advertised,unknown,unknown,unknown,unknown,documented-adjacent,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=885083,data/raw/cslb-885083.txt
22,Flow Masters Plumbing Inc.,FLOW MASTERS PLUMBING INC,viable,2026-09-04-expansion-50,17,966337,active,Corporation,"C36 - PLUMBING ; C16 - FIRE PROTECTION ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",10/04/2011,10/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"6169 MISSION ST / DALY CITY, CA 94014",(415) 751-1933,(415) 751-1933,1072,,advertised,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=966337,data/raw/cslb-966337.txt
23,Advanced Plumbing & Drain,ADVANCED PLUMBING AND DRAIN INC,viable,,17,1009195,active,Corporation,C36 - PLUMBING,11/24/2015,11/30/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"3450 SACRAMENTO ST 204 / SAN FRANCISCO, CA 94118",(415) 744-4944,(415) 744-4944,341,https://advancedplumbingsf.com/,advertised,unknown,unknown,unknown,advertised,advertised,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1009195,data/raw/cslb-1009195.txt
24,E M S Plumbing,E M S PLUMBING,viable,,17,945019,active,Sole Ownership,C36 - PLUMBING,03/29/2010,03/31/2028,WESTERN SURETY COMPANY,"$25,000",,insured,"1009 RHODE ISLAND STREET / SAN FRANCISCO, CA 94107",(415) 596-0883,(415) 596-0883,125,,advertised,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=945019,data/raw/cslb-945019.txt
25,X-Ray Plumbing And Drain,X-RAY PLUMBING AND DRAIN INC,viable,,17,1129001,active,Corporation,C36 - PLUMBING,11/12/2024,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"912 COLE ST STE #266 / SAN FRANCISCO, CA 94117",(415) 996-6668,(415) 465-2727,16,https://xrayplumbing.com/,advertised,unknown,unknown,unknown,unknown,advertised,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1129001,data/raw/cslb-1129001.txt
26,Answer Plumbing Inc,ANSWER PLUMBING INC,viable,2026-09-04-expansion-50-b3,17,944315,active,Corporation,C36 - PLUMBING,03/10/2010,05/31/2028,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,exempt,"1040 STEINER STREET #3 / SAN FRANCISCO, CA 94115",(415) 722-0959,(415) 722-0959,,,advertised,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=944315,data/raw/cslb-944315.txt
27,Arch Plumbing Inc.,ARCH PLUMBING INC,viable,2026-09-04-expansion-20,17,976019,active,Corporation,"C36 - PLUMBING; C16 - FIRE PROTECTION; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C10 - ELECTRICAL",08/23/2012,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"121 QUINT STREET / SAN FRANCISCO, CA 94124",(415) 375-0302,(415) 375-0302,,https://archplumbinginc.com/,unknown,advertised,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=976019,data/raw/cslb-976019.txt
28,Friendly Plumber,FRIENDLY PLUMBER,viable,2026-09-04-expansion-50-b3,17,743369,active,Sole Ownership,C36 - PLUMBING,12/02/1997,12/31/2027,PLATTE RIVER INSURANCE COMPANY,"$25,000",,exempt,"P O BOX 590634 / SAN FRANCISCO, CA 94159",(415) 242-8818,(415) 242-8818,,,advertised,unknown,unknown,advertised,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=743369,data/raw/cslb-743369.txt
29,Performance Plumbing,PERFORMANCE PLUMBING,viable,2026-09-04-expansion-50-b3,17,841080,active,Sole Ownership,C36 - PLUMBING,06/19/2004,06/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"2668 LEIX WAY / SOUTH SAN FRANCISCO, CA 94080",(415) 831-0348,(415) 831-0348,,,advertised,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=841080,data/raw/cslb-841080.txt
30,Roto-Rooter Sewer & Drain,ROTO-ROOTER SEWER & DRAIN,viable,2026-09-04-expansion-50-b3,17,633904,active,Sole Ownership,C36 - PLUMBING,12/17/1991,12/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"3840 BAYSHORE BLVD / BRISBANE, CA 94005",(415) 656-2130,(415) 656-2130,,,advertised,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=633904,data/raw/cslb-633904.txt
31,S & G Plumbing Inc,S & G PLUMBING INC,viable,2026-09-04-expansion-50-b3,17,841206,active,Corporation,C36 - PLUMBING,06/21/2004,06/30/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"961 WASHINGTON STREET / SAN CARLOS, CA 94070",(650) 595-4050,(650) 595-4050,,,advertised,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=841206,data/raw/cslb-841206.txt
32,Tromborg Royal Plumbing & Heating,TROMBORG ROYAL PLUMBING & HEATING,viable,2026-09-04-expansion-50-b3,17,773207,active,Sole Ownership,B - GENERAL BUILDING ; C36 - PLUMBING,01/03/2000,01/31/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,exempt,"7 WASHINGTON STREET / DALY CITY, CA 94014",(650) 755-3110,(650) 755-3110,,,advertised,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=773207,data/raw/cslb-773207.txt
33,Ayoob & Peery Plumbing Co.,AYOOB & PEERY PLUMBING CO INC,viable,,0,392967,active,Corporation,"B - GENERAL BUILDING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",09/08/1980,09/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"975 INDIANA ST / SAN FRANCISCO, CA 94107",(415) 550-0975,(415) 550-0975,8062,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=392967,data/raw/cslb-392967.txt
34,Pribuss Engineering Inc,PRIBUSS ENGINEERING INC,viable,2026-09-04-expansion-50-b5,0,251241,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; B - GENERAL BUILDING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C16 - FIRE PROTECTION; C36 - PLUMBING",01/04/1968,09/30/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"523 MAYFAIR AVE / SO SAN FRANCISCO, CA 94080",(650) 588-0447,(650) 588-0447,7379,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=251241,data/raw/cslb-251241.txt
35,Anderson Rowe & Buckley Inc,ANDERSON ROWE & BUCKLEY INC,viable,2026-09-04-expansion-50-b5,0,91594,active,Corporation,"C16 - FIRE PROTECTION; C36 - PLUMBING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C38 - REFRIGERATION; C42 - SANITATION SYSTEM; C43 - SHEET METAL; C-2 - INSULATION AND ACOUSTICAL",01/17/1947,10/31/2026,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,"$25,000",,insured,"2833 THIRD ST / SAN FRANCISCO, CA 94107",(415) 282-1625,(415) 282-1625,4719,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=91594,data/raw/cslb-91594.txt
36,Dpw Inc,DPW INC,viable,2026-09-04-expansion-50-b5,0,684939,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C36 - PLUMBING",03/07/1994,03/31/2028,FEDERATED MUTUAL INSURANCE COMPANY,"$25,000",,insured,"203 EAST HARRIS AVENUE / SOUTH SAN FRANCISCO, CA 94080",(650) 588-8482,(650) 588-8482,2931,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=684939,data/raw/cslb-684939.txt
37,Cornely Company,CORNELY COMPANY,viable,2026-09-04-expansion-50-b5,0,171203,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C36 - PLUMBING; C10 - ELECTRICAL",10/28/1957,11/30/2026,WESTERN SURETY COMPANY,"$25,000",,insured,"65 DORMAN AVENUE / SAN FRANCISCO, CA 94124",(415) 252-1800,(415) 252-1800,2101,,unknown,unknown,unknown,unknown,unknown,unknown,0,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=171203,data/raw/cslb-171203.txt
38,Ruby Plumbing & Electrical Supply,RUBY PLUMBING & ELECTRICAL SUPPLY INC,viable,,0,748426,active,Corporation,B - GENERAL BUILDING ; C10 - ELECTRICAL ; C16 - FIRE PROTECTION ; C36 - PLUMBING,04/22/1998,04/30/2028,WESTERN SURETY COMPANY,"$25,000",,insured,"1234 GENEVA AVENUE / SAN FRANCISCO, CA 94112",(415) 337-9133,(415) 337-9133,1947,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=748426,data/raw/cslb-748426.txt
39,Bayline Mechanical Inc,BAYLINE MECHANICAL INC,viable,2026-09-04-expansion-50-b5,0,342012,active,Corporation,C36 - PLUMBING,08/08/1977,04/30/2028,HARCO NATIONAL INSURANCE COMPANY,"$25,000",,insured,"310 SHAW ROAD SUITE B / S SAN FRANCISCO, CA 94080-6615",(415) 648-1225,(415) 648-1225,1772,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=342012,data/raw/cslb-342012.txt
40,Bell Plumbing and Heating,BELL PLUMBING AND HEATING,viable,,0,613784,active,Corporation,"C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; B - GENERAL BUILDING ; A - GENERAL ENGINEERING ; C-61 / D12 - SYNTHETIC PRODUCTS ; C10 - ELECTRICAL ; C33 - PAINTING AND DECORATING",02/26/1991,02/28/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"dba ECONOMY PLUMBING / P O BOX 1691 / BURLINGAME, CA 94011",(650) 756-5100,(650) 756-5100,1683,,unknown,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=613784,data/raw/cslb-613784.txt
41,San Francisco Plumbing Company,SAN FRANCISCO PLUMBING COMPANY,viable,,0,323223,active,Corporation,C36 - PLUMBING,08/10/1976,01/31/2027,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"200 VALLEY DRIVE SUITE 3 / BRISBANE, CA 94005",(415) 664-2345,(415) 664-2345,1556,,unknown,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=323223,data/raw/cslb-323223.txt
42,Fusco Plumbing and Heating,FUSCO PLUMBING AND HEATING,viable,,0,530388,active,Sole Ownership,"C36 - PLUMBING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",05/16/1988,05/31/2028,PLATTE RIVER INSURANCE COMPANY,"$25,000",,insured,"705 KNOCKNABOUL WAY / SAN RAFAEL, CA 94903",(415) 850-9780,(415) 850-9780,1543,,unknown,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=530388,data/raw/cslb-530388.txt
43,Acco Engineered Systems Inc,ACCO ENGINEERED SYSTEMS INC,viable,2026-09-04-expansion-50-b5,0,120696,active,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C36 - PLUMBING; C38 - REFRIGERATION; C10 - ELECTRICAL; B - GENERAL BUILDING; A - GENERAL ENGINEERING; C42 - SANITATION SYSTEM; C16 - FIRE PROTECTION",07/24/1950,12/31/2027,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,"$25,000",,insured,"dba ACCO ENGINEERED SYSTEMS / 888 E WALNUT ST / PASADENA, CA 91101",(818) 244-6571,(818) 244-6571,1528,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=120696,data/raw/cslb-120696.txt
44,O'Connor Plumbing & Fire Protection Inc,O'CONNOR PLUMBING & FIRE PROTECTION INC,viable,2026-09-04-expansion-50-b4,0,498866,active,Corporation,C16 - FIRE PROTECTION; C36 - PLUMBING,09/26/1986,04/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"360 SWIFT AVE / SOUTH SAN FRANCISCO, CA 94080",(650) 344-4424,(650) 344-4424,1419,,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=498866,data/raw/cslb-498866.txt
45,Lutz Plumbing,LUTZ PLUMBING INC,viable,,0,503971,active,Corporation,"C36 - PLUMBING ; C16 - FIRE PROTECTION ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",01/12/1987,01/31/2027,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,insured,"3123 17TH STREET / SAN FRANCISCO, CA 94110",(415) 621-4292,(415) 621-4292,1405,https://lutzplumbingsf.com/,unknown,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=503971,data/raw/cslb-503971.txt
